Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"promis_painin34_a69d9d"	"promis_sf_v10_pain_interference_4a_5073"	""	"radio"	"In the past 7 days\nHow much did pain interfere with your household chores?"	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_cog1"	"promis_cognitive_function"	"In the past 7 days..."	"radio"	"I have been able to concentrate"	"1, not at all | 2, a little bit | 3, somewhat | 4, quite a bit | 5, very much"	""	""			""	""	""	""		"promis_cog"		""
"promis_cog2"	"promis_cognitive_function"	""	"radio"	"I have been able to remember to do things, like take medicine or buy something I needed"	"1, not at all | 2, a little bit | 3, somewhat | 4, quite a bit | 5, very much"	""	""			""	""	""	""		"promis_cog"		""
"cci_table_1"	"charlson_comorbidity_index"	""	"checkbox"	"Please check the boxes for all conditions you have.\n\n"	"1, Myocardial infarct | 2, Congestive heart failure | 3, Peripheral vascular disease | 4, Cerebrovascular disease (except hemiplegia) | 5, Dementia | 6, Chronic pulmonary disease | 7, Connective tissue disease | 8, Ulcer disease | 9, Mild liver disease | 10, Diabetes (without complications) | 11, Diabetes with end organ damage | 12, Hemiplegia | 13, Moderate or severe renal disease | 14, Solid tumor (non metastatic) | 15, Leukemia | 16, Lymphoma, Multiple myeloma | 17, Moderate or severe liver disease | 18, Metastatic solid tumor | 19, AIDS"	""	""			""	""	""	""		""		""
"pd_q_1"	"paindetect_questionnaire_pdq"	""	"radio"	"Do you suffer from a burning sensation (e.g., stinging nettles) in the areas of your pain?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"pd_q_2"	"paindetect_questionnaire_pdq"	""	"radio"	"Do you have a tingling or prickling sensation in the area of your pain (like crawling ants or electrical tingling)?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"pd_q_3"	"paindetect_questionnaire_pdq"	""	"radio"	"Is light touching (clothing, a blanket) in this area painful?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"pd_q_4"	"paindetect_questionnaire_pdq"	""	"radio"	"Do you have sudden pain attacks in the area of your pain, like electric shocks?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"pd_q_5"	"paindetect_questionnaire_pdq"	""	"radio"	"Is cold or heat (bath water) in this area occasionally painful?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"pd_q_6"	"paindetect_questionnaire_pdq"	""	"radio"	"Do you suffer from a sensation of numbness in the areas that you marked?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"pd_q_7"	"paindetect_questionnaire_pdq"	""	"radio"	"Does slight pressure in this area, e.g., with a finger, trigger pain?"	"0, never | 1, hardly noticed | 2, slightly | 3, moderately | 4, strongly | 5, very strongly"	""	""			""	""	""	""		"pd_q"		""
"fabq"	"fearavoidance_beliefs_questionnaire_physical_activ"	""	"descriptive"	" Here are some of the things which other patients have told us about their pain. For each statement please\n select any number from 0 to 6 to say how much physical activities such as bending, lifting, walking or\n driving affect or would affect your back pain.\n"	""	""	""			""	""	""	""		""		""
"fabq_1"	"fearavoidance_beliefs_questionnaire_physical_activ"	""	"radio"	"My pain was caused by physical activity"	"0, completely disagree | 1, 1 | 2, 2 | 3, unsure | 4, 4 | 5, 5 | 6, Completely agree"	""	""			""	""	""	""		"fabq"		""
"fabq_2"	"fearavoidance_beliefs_questionnaire_physical_activ"	""	"radio"	"Physical activity makes my pain worse"	"0, completely disagree | 1, 1 | 2, 2 | 3, unsure | 4, 4 | 5, 5 | 6, Completely agree"	""	""			""	""	""	""		"fabq"		""
"fabq_3"	"fearavoidance_beliefs_questionnaire_physical_activ"	""	"radio"	"Physical activity might harm my back"	"0, completely disagree | 1, 1 | 2, 2 | 3, unsure | 4, 4 | 5, 5 | 6, Completely agree"	""	""			""	""	""	""		"fabq"		""
"fabq_4"	"fearavoidance_beliefs_questionnaire_physical_activ"	""	"radio"	"I should not do physical activities which (might) make my pain worse"	"0, completely disagree | 1, 1 | 2, 2 | 3, unsure | 4, 4 | 5, 5 | 6, Completely agree"	""	""			""	""	""	""		"fabq"		""
"fabq_5"	"fearavoidance_beliefs_questionnaire_physical_activ"	""	"radio"	"I cannot do physical activities which (might) make my pain worse"	"0, completely disagree | 1, 1 | 2, 2 | 3, unsure | 4, 4 | 5, 5 | 6, Completely agree"	""	""			""	""	""	""		"fabq"		""
"cpaq_1"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"I am getting on with the business of living no matter what my level of pain is"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_2"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"Keeping my pain level under control takes first priority whenever I am doing something"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_3"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"Although things have changed, I am living a normal life despite my chronic pain"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_4"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"Before I can make any serious plans, I have to get some control over my pain"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_5"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"I lead a full life even though I have chronic pain"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_6"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"When my pain increases, I can still take care of my responsibilities"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_7"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"I avoid putting myself in situations where my pain might increase"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"cpaq_8"	"chronic_pain_acceptance_questionnaire"	""	"radio"	"My worries and fears about what pain will do to me are true"	"0, never true | 1, very rarely true | 2, seldom true | 3, sometimes true | 4, often true | 5, almost always true | 6, always true"	""	""			""	""	""	""		"cpaq"		""
"maia_1"	"multidimensional_assessment_of_interoceptive_aware"	"Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Select one number on each line."	"radio"	"When I am tense I notice where the tension is located in my body."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_2"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice when I am uncomfortable in my body."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_3"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice where in my body I am comfortable."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_4"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice changes in my breathing, such as whether it slows down or speeds up."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_5"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I ignore physical tension or discomfort until they become more severe."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_6"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I distract myself from sensations of discomfort."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_7"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I feel pain or discomfort, I try to power through it."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_8"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I try to ignore pain"	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_9"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I push feelings of discomfort away by focusing on something"	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_10"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I feel unpleasant body sensations, I occupy myself with something else so I don't have to feel them."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_11"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I feel physical pain, I become upset."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_12"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I start to worry that something is wrong if I feel any discomfort."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_13"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can notice an unpleasant body sensation without worrying about it."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_14"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can stay calm and not worry when I have feelings of discomfort or pain."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_15"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I am in discomfort or pain I can't get it out of my mind"	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_16"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can pay attention to my breath without being distracted by things happening around me."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_17"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can maintain awareness of my inner bodily sensations even when there is a lot going on around me."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_18"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I am in conversation with someone, I can pay attention to my posture."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_19"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can return awareness to my body if I am distracted."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_20"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can refocus my attention from thinking to sensing my body."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_21"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can maintain awareness of my whole body even when a part of me is in pain or discomfort."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_22"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I am able to consciously focus on my body as a whole."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_23"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice how my body changes when I am angry."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_24"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When something is wrong in my life I can feel it in my body."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_25"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice that my body feels different after a peaceful experience."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_26"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice that my breathing becomes free and easy when I feel comfortable."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_27"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I notice how my body changes when I feel happy / joyful."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_28"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I feel overwhelmed I can find a calm place inside."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_29"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I bring awareness to my body I feel a sense of calm."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_30"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I can use my breath to reduce tension."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_31"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I am caught up in thoughts, I can calm my mind by focusing on my body/breathing."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_32"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I listen for information from my body about my emotional state."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_33"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"When I am upset, I take time to explore how my body feels."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_34"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I listen to my body to inform me about what to do."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_35"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I am at home in my body."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_36"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I feel my body is a safe place."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"maia_37"	"multidimensional_assessment_of_interoceptive_aware"	""	"radio"	"I trust my body sensations."	"0, 0 never | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 always"	""	""			""	""	"y"	""		"maia"		""
"pss4"	"perceived_stress_scale_4"	""	"descriptive"	"The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH. In each case, please indicate your response by selecting the answer representing HOW OFTEN you felt or thought a certain way."	""	""	""			""	""	""	""		""		""
"pss4_1"	"perceived_stress_scale_4"	""	"radio"	"In the last month, how often have you felt that you were unable to control the important things in your life?"	"0, never | 1, almost never | 2, sometimes | 3, fairly often | 4, very often"	""	""			""	""	""	""		"pss4"		""
"pss4_2"	"perceived_stress_scale_4"	""	"radio"	"In the last month, how often have you felt confident about your ability to handle your personal problems?"	"0, never | 1, almost never | 2, sometimes | 3, fairly often | 4, very often"	""	""			""	""	""	""		"pss4"		""
"pss4_3"	"perceived_stress_scale_4"	""	"radio"	"In the last month, how often have you felt that things were going your way?"	"0, never | 1, almost never | 2, sometimes | 3, fairly often | 4, very often"	""	""			""	""	""	""		"pss4"		""
"pss4_4"	"perceived_stress_scale_4"	""	"radio"	"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"	"0, never | 1, almost never | 2, sometimes | 3, fairly often | 4, very often"	""	""			""	""	""	""		"pss4"		""
"i_panas_1"	"international_positive_and_negative_affect_schedul"	"Thinking about yourself and how you normally feel, to what extent do you generally feel:"	"radio"	"upset"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_2"	"international_positive_and_negative_affect_schedul"	""	"radio"	"hostile"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_3"	"international_positive_and_negative_affect_schedul"	""	"radio"	"alert"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_4"	"international_positive_and_negative_affect_schedul"	""	"radio"	"ashamed"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_5"	"international_positive_and_negative_affect_schedul"	""	"radio"	"inspired"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_6"	"international_positive_and_negative_affect_schedul"	""	"radio"	"nervous"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_7"	"international_positive_and_negative_affect_schedul"	""	"radio"	"determined"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_8"	"international_positive_and_negative_affect_schedul"	""	"radio"	"attentive"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_9"	"international_positive_and_negative_affect_schedul"	""	"radio"	"afraid"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"i_panas_10"	"international_positive_and_negative_affect_schedul"	""	"radio"	"active"	"1, 1 (never) | 2, 2 | 3, 3 | 4, 4 | 5, 5 (always)"	""	""			""	""	""	""		"i_panas"		""
"promis_fse31053x2"	"promis_sf_v20_emotional_support_4a"	""	"radio"	"I have someone who will listen to me when I need to talk"	"1, Never | 2, Rarely | 3, Sometimes | 4, Usually | 5, Always"	""	""			""	""	""	""		""		""
"promis_fse31059x2"	"promis_sf_v20_emotional_support_4a"	""	"radio"	"I have someone to confide in or talk to about myself or my problems"	"1, Never | 2, Rarely | 3, Sometimes | 4, Usually | 5, Always"	""	""			""	""	""	""		""		""
"promis_ss12x"	"promis_sf_v20_emotional_support_4a"	""	"radio"	"I have someone who makes me feel appreciated"	"1, Never | 2, Rarely | 3, Sometimes | 4, Usually | 5, Always"	""	""			""	""	""	""		""		""
"promis_ssq3x2"	"promis_sf_v20_emotional_support_4a"	""	"radio"	"I have someone to talk with when I have a bad day"	"1, Never | 2, Rarely | 3, Sometimes | 4, Usually | 5, Always"	""	""			""	""	""	""		""		""
"pseq"	"pain_se_questionnaire_pseq"	""	"descriptive"	"<div class=\"rich-text-field-label\"><p><span style=\"font-weight: normal;\">Please rate how </span>confident <span style=\"font-weight: normal;\">you are that you can do the following things <span style=\"text-decoration: underline;\">at present</span>, </span>despite the pain<span style=\"font-weight: normal;\">. To indicate your answer, select one of the numbers on the scale under each item, where 0=not at all confident and 6=completely confident. </span></p> <p> </p> <p><span style=\"font-weight: normal;\">Remember, this questionnaire is not asking whether or not you have been doing these things, but rather </span>how confident you are that you can do them at present, <span style=\"text-decoration: underline;\">despite the pain.</span></p></div>"	""	""	""			""	""	""	""		""		""
"pseq_4"	"pain_se_questionnaire_pseq"	""	"radio"	"I can cope with my pain in most situations"	"0, 0 (not at all confident) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 (completely confident)"	""	""			""	""	""	""		"pseq"		""
"pseq_6"	"pain_se_questionnaire_pseq"	""	"radio"	"I can still do many of the things I enjoy doing, such as hobbies or leisure activities, despite the pain"	"0, 0 (not at all confident) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 (completely confident)"	""	""			""	""	""	""		"pseq"		""
"pseq_8"	"pain_se_questionnaire_pseq"	""	"radio"	"I can still accomplish most of my goals in life, despite the pain"	"0, 0 (not at all confident) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 (completely confident)"	""	""			""	""	""	""		"pseq"		""
"pseq_9"	"pain_se_questionnaire_pseq"	""	"radio"	"I can live a normal lifestyle, despite the pain"	"0, 0 (not at all confident) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 (completely confident)"	""	""			""	""	""	""		"pseq"		""
"ptsdyesno"	"primary_care_ptsd_symptom_screener"	""	"yesno"	"Sometimes things happen to people that are unusually or especially frightening, horrible, or traumatic. For example: \n\n-\ta serious accident or fire, \n-\ta physical or sexual assault or abuse, \n-\tan earthquake or flood, \n-\ta war, \n-\tseeing someone be killed or seriously injured, \n-\thaving a loved one die through homicide or suicide. \n\nHave you ever experienced this kind of event?    \t\n"	""	""	""			""	""	""	"LH"		""		""
"ptsd_child"	"primary_care_ptsd_symptom_screener"	""	"yesno"	"As a child?"	""	""	""			""	"[ptsdyesno] = '1'"	""	"LH"		""		""
"ptsd_adult"	"primary_care_ptsd_symptom_screener"	""	"yesno"	"As an adult?"	""	""	""			""	"[ptsdyesno] = '1'"	""	"LH"		""		""
"ptsd_1"	"primary_care_ptsd_symptom_screener"	"In the past month, have you..."	"radio"	"had nightmares about the event(s) or thought about the event(s) when you did not want to?"	"1, yes | 0, no"	""	""			""	"[ptsdyesno] = '1'"	""	""		"ptsd"		""
"ptsd_2"	"primary_care_ptsd_symptom_screener"	""	"radio"	"tried hard not to think about the event(s) or went out of your way to avoid situations that \t\treminded you of the event(s)?"	"1, yes | 0, no"	""	""			""	"[ptsdyesno] = '1'"	""	""		"ptsd"		""
"ptsd_3"	"primary_care_ptsd_symptom_screener"	""	"radio"	"been constantly on guard, watchful, or easily startled?"	"1, yes | 0, no"	""	""			""	"[ptsdyesno] = '1'"	""	""		"ptsd"		""
"ptsd_4"	"primary_care_ptsd_symptom_screener"	""	"radio"	"felt numb or detached from people, activities, or your surroundings?"	"1, yes | 0, no"	""	""			""	"[ptsdyesno] = '1'"	""	""		"ptsd"		""
"ptsd_5"	"primary_care_ptsd_symptom_screener"	""	"radio"	"felt guilty or unable to stop blaming yourself or others for the events(s) or any problems the \t\tevent(s) may have caused?"	"1, yes | 0, no"	""	""			""	"[ptsdyesno] = '1'"	""	""		"ptsd"		""
"financialstn"	"financial_strain"	""	"dropdown"	"How hard is it for you (and your family) to pay for the very basics like food, medical care, and heating? "	"4, very hard | 3, hard | 2, somewhat hard | 1, not very hard | 9, do not know"	""	""			""	""	""	""		""		""
"pd_1"	"perceived_discrimination"	"The next questions give us a general idea of the different experiences of people who have taken part in this survey. We ask these questions of everyone who participates. Again, please remember that all the information is confidential."	"radio"	"Overall during your life until now, how often have you worried that you might be treated or judged unfairly because of your race, ethnic group or social discrimination?"	"3, very often | 2, somewhat often | 1, not very often | 0, never"	""	""			""	""	""	""		"perceiveddiscrim"		""
"pd_2"	"perceived_discrimination"	""	"radio"	"Overall during your life until now, how often have you worried that a loved one like your spouse, partner, child, or parent might be treated or judged unfairly because of their race, ethnic group or sexual orientation?"	"3, very often | 2, somewhat often | 1, not very often | 0, never"	""	""			""	""	""	""		"perceiveddiscrim"		""
"pd_3"	"perceived_discrimination"	""	"radio"	"Overall during your life until now, how often have you been discriminated against, prevented from doing something, or hassled or made to feel inferior because of your race, ethnicity, color or sexual orientation?"	"3, very often | 2, somewhat often | 1, not very often | 0, never"	""	""			""	""	""	""		"perceiveddiscrim"		""
"expectpainrel"	"expectation_of_pain_relief"	""	"dropdown"	"Please indicate how much pain relief you expect over the coming three months? "	"0, no relief | 1, 10% | 2, 20% | 3, 30% | 4, 40% | 5, 50% | 6, 60% | 7, 70% | 8, 80% | 9, 90% | 10, complete relief"	""	""			""	""	""	"RH"		""		""
"pass_6"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	"Please rate each item in terms of frequency, from 0 (Never) to 5 (Always)."	"radio"	"I go immediately to bed when I feel severe pain"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_7"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"I will stop any activity as soon as I sense pain coming on"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_8"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"As soon as pain comes on I take medication to reduce it"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_9"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"I avoid important activities when I hurt"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_10"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"I try to avoid activities that cause pain"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_16"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"I begin trembling when engaged in activity that increases pain"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_17"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"Pain seems to cause my heart to pound or race"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_18"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"When I sense pain I feel dizzy or faint"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
